ID	PLACE_ID	CREATED_AT	REVIEWER_ID	COMMENTS
114120455	1001457	2016-11-15 0:00	103185776	'The appartement was clean b...'
114491963	13627321	2016-11-18 0:00	99807562	'Modern. Beautiful space. Am...'
114926917	13627321	2016-11-20 0:00	90871492	'Best place to stay in Melbo...'
115220974	1001457	2016-11-22 0:00	11464138	'The apartment is very nice...'
115224061	13627321	2016-11-22 0:00	39727883	'Alex is a great host and re...'
115578044	13627321	2016-11-25 0:00	90871492	'Alex has been a great host....'
116358119	1001457	2016-11-29 0:00	52457730	'great place! my family enjo...'
116579759	13627321	2016-12-01 0:00	27389887	'Excellent location. The ap...'
116828194	13627321	2016-12-03 0:00	47141003	'This apartment is great! Cl...'
117111156	1001457	2016-12-04 0:00	13546667	'Hosts are very welcoming an...'
120217427	13627321	2016-12-08 0:00	1452298	'Great location within the f...'
120806317	13627321	2016-12-11 0:00	29018708	We had a great stay, thanks...
121400313	1001457	2016-12-16 0:00	107100383	'Our stay last weekend was a...'
122050406	1001457	2016-12-20 0:00	4332893	'Everything was very well or...'
122482106	13627321	2016-12-23 0:00	50621820	'The place is in perfect loc...'
123336169	13627321	2016-12-28 0:00	7189441	'Great place to stay with am...'
124652673	13627321	2017-01-02 0:00	43573923	It was a perfect stay, Alex...
124891749	1001457	2017-01-02 0:00	63195650	'Great apartment in central ...'
125259819	13627321	2017-01-04 0:00	88337916	'Alex's place was a great pl...'
125627012	13627321	2017-01-06 0:00	3253795	'Emplacement parfait pour ce...'
126046052	13627321	2017-01-08 0:00	23173702	'Alex's place is great! Clea...'
126690274	13627321	2017-01-13 0:00	52687934	'We had a marvelous time in ...'
127072328	13627321	2017-01-15 0:00	38130821	'We thoroughly enjoyed our s...'
127378082	13627321	2017-01-17 0:00	8883854	'I stayed with my family at ...'
128329417	13627321	2017-01-23 0:00	35053728	'Amazing apartment.It is rig...'
128458942	13627321	2017-01-24 0:00	64721849	Very good location, warm ho...
129438834	13627321	2017-01-30 0:00	64750667	'It's a wonderful stay!!!! A...'
130719892	1001457	2017-02-07 0:00	105256290	'Great location with the fre...'
130974952	1001457	2017-02-09 0:00	19197891	'Enjoyed the stay. Excellent...'
131129469	13627321	2017-02-10 0:00	20209034	Alex真的是非常非常热情的房东,非常详细地给我们介绍...
131616064	13627321	2017-02-12 0:00	22354106	'Very central with an amazin...'
133990761	13627321	2017-02-25 0:00	46138604	'A wonderful place for famil...'
136157755	13627321	2017-03-08 0:00	6347662	'Alex was a great host- very...'
136298665	13627321	2017-03-09 0:00	90787422	'It was an absolutely perfec...'
136990314	13627321	2017-03-12 0:00	47357500	'Alex is a fabulous host. Th...'
137662282	13627321	2017-03-16 0:00	116344590	凌晨到达｡房东很热心来管,房间非常干净｡去很多地方都很...
138051598	13627321	2017-03-18 0:00	84783961	Alex was great, and the apa...
138987370	13627321	2017-03-22 0:00	119948200	碰到华人还是非常开心,沟通顺畅无障碍,房子整洁还有筷子...
139904709	13627321	2017-03-26 0:00	91177885	Alex is a welcoming host, v...
141376024	13627321	2017-04-02 0:00	33358170	'Fantastic apartment with a ...'
142579975	13627321	2017-04-08 0:00	28219908	非常好的体验…地理位置非常好!楼下就是有轨电车,2分钟...
143879462	13627321	2017-04-13 0:00	21906062	Perfect hosting, perfect ap...
144458004	13627321	2017-04-15 0:00	96514492	'Alex and his wife are excel...'
145751689	13627321	2017-04-19 0:00	118305362	Alex is nice, provided info...
147292059	13627321	2017-04-25 0:00	79143528	房子位置非常好,楼下就有免费电车,我们这几天市内主要景...
147634034	1001457	2017-04-27 0:00	105258506	'My family and I had a fanta...'
148478057	13627321	2017-04-30 0:00	21581805	'Alex is a great host who is...'
149367837	13627321	2017-05-03 0:00	21334755	'great stay and location - h...'
149572206	13627321	2017-05-05 0:00	13472411	'Alex was great - quick to r...'
150456113	13627321	2017-05-08 0:00	23589913	'The view was stunning! Loca...'
151257539	13627321	2017-05-12 0:00	35764550	'Having stayed at another of...'
152101015	1001457	2017-05-15 0:00	127916749	'Very convenient to Jeff's S...'
153130141	13627321	2017-05-20 0:00	104351229	我们是在墨尔本租车自驾,使用导航找到与房东约好的车库门...
153367547	1001457	2017-05-21 0:00	124615841	'Good place to stay'
154960301	13627321	2017-05-26 0:00	115308201	'Excellent place and host'
155294246	1001457	2017-05-28 0:00	65683681	Enjoyed our stay, perfect l...
156521689	13627321	2017-05-31 0:00	35327221	'Well-located with magnifice...'
157879159	1001457	2017-06-04 0:00	43623634	'Nice apartment with some gr...'
158471250	13627321	2017-06-06 0:00	53093502	'Perfect place.'
159376038	13627321	2017-06-10 0:00	117861457	'Excellent Place larger than...'
159884387	13627321	2017-06-12 0:00	132300200	'Alex's apartment was great....'
160596651	13627321	2017-06-14 0:00	106389402	'Nicely furnished apartment ...'
161114387	13627321	2017-06-17 0:00	132431907	'Thank you so much Alex for ...'
162676207	13627321	2017-06-22 0:00	55521232	'This apartment is fabulous....'
162907480	13627321	2017-06-23 0:00	39662152	'A very central and convenie...'
164013585	13627321	2017-06-26 0:00	6282365	Alex, what an amazing host....
164847086	13627321	2017-06-29 0:00	33662552	'awesome place. very good se...'
166246585	13627321	2017-07-03 0:00	128915995	'I stayed at Alex's apartmen...'
166255119	1001457	2017-07-03 0:00	77230498	'We were not disappointed-cl...'
167214115	1001457	2017-07-06 0:00	88829474	'The location is great with ...'
168140261	13627321	2017-07-09 0:00	11137815	'Alex was a great host. The ...'
168657361	13627321	2017-07-10 0:00	73007914	'A wonder apartment with an ...'
171821003	1001457	2017-07-19 0:00	139744999	'Good everything good for 4-...'
172108071	13627321	2017-07-19 0:00	110566609	'weizhi'
172424492	13627321	2017-07-21 0:00	140153288	'This apartment definitely h...'
172908939	1001457	2017-07-22 0:00	141769169	'The host canceled this rese...'
175436911	13627321	2017-07-29 0:00	139789018	非常满意的一次入住,公寓的在CBD的核心,还有免费的停...
178147464	13627321	2017-08-05 0:00	130359279	'Wonderful experience. Great...'
179588418	13627321	2017-08-08 0:00	21301605	'The best possible Airbnb in...'
180264086	13627321	2017-08-10 0:00	41321376	'Great location! Extremely c...'
181510690	13627321	2017-08-13 0:00	71580527	'Amazing location in the CBD...'
184032941	13627321	2017-08-19 0:00	131364089	'Thanks fir the great accomd...'
185553963	13627321	2017-08-22 0:00	59297301	房间位置优越,位于南十字星火车站旁,往返机场和市区景点...
188568362	13627321	2017-08-30 0:00	110416974	'Great location and great pl...'
188585167	20351923	2017-08-30 0:00	145605692	'This apartment is amazing w...'
189160037	13627321	2017-09-01 0:00	94970951	alex是个很热情的人,非常细心｡
189823201	20351923	2017-09-03 0:00	67326607	'amazing nightview with nice...'
190786355	13627321	2017-09-05 0:00	135291111	公寓位置很好在市中心,去景点和商业区都很方便,房间整洁...
191282202	20351923	2017-09-07 0:00	145975767	'perfect!'
191513891	13627321	2017-09-08 0:00	122998016	非常热心的房东,细心讲解墨尔本,晚上很晚到房东也在,房...
192161966	1001457	2017-09-10 0:00	60845264	'Excellent location. Tram ri...'
192683628	20351923	2017-09-10 0:00	146968392	Great apartment, great loca...
192692989	13627321	2017-09-11 0:00	76093769	'Absolutely amazing apartmen...'
193515044	20351923	2017-09-14 0:00	42536130	'We enjoyed our stay at the ...'
195334897	1001457	2017-09-19 0:00	71874154	Fantastic location, great s...
197222923	13627321	2017-09-25 0:00	136902578	'The best!'
